id,name,attack_score,defense_score
1,Annie,646.74,569.29
2,Olaf,709.99,932.16
3,Galio,498.23,751.24
4,Twisted Fate,527.09,695.64
5,Xin Zhao,624.41,1138.25
6,Urgot,593.31,796.1
7,LeBlanc,641.45,700.46
8,Vladimir,707.61,960.97
9,Fiddlesticks,542.73,980.47
10,Kayle,589.72,755.22
11,Master Yi,632.23,916.19
12,Alistar,237.87,751.69
13,Ryze,622.94,783.11
14,Sion,560.21,1132.44
15,Sivir,643.22,592.37
16,Soraka,202.21,471.13
17,Teemo,695.99,654.5
18,Tristana,659.32,665.98
19,Warwick,547.25,1168.17
20,Nunu & Willump,470.11,1114.38
21,Miss Fortune,692.88,583.24
22,Ashe,540.15,546.39
23,Tryndamere,595.41,1091.53
24,Jax,603.63,858.03
25,Morgana,417.93,584.46
26,Zilean,351.65,564.26
27,Singed,487.42,889.28
28,Evelynn,684.25,925.65
29,Twitch,743.87,680.15
30,Karthus,981.26,798.67
31,Cho'Gath,556.78,993.55
32,Amumu,368.43,779.22
33,Rammus,477.66,942.47
34,Anivia,601.08,756.43
35,Shaco,556.37,801.74
36,Dr. Mundo,668.25,1151.17
37,Sona,300.41,550.9
38,Kassadin,699.92,825.13
39,Irelia,683.23,978.83
40,Janna,183.23,480.25
41,Gangplank,726.65,815.93
42,Corki,789.17,626.02
43,Karma,415.52,557.55
44,Taric,250.02,722.07
45,Veigar,603.44,630.86
48,Trundle,512.83,1134.02
50,Swain,675.11,901.23
51,Caitlyn,638.84,603.79
53,Blitzcrank,286.76,658.46
54,Malphite,533.68,713.31
55,Katarina,755.95,806.4
56,Nocturne,565.94,1035.03
57,Maokai,484.16,785.31
58,Renekton,609.69,1042.05
59,Jarvan IV,486.08,969.49
60,Elise,573.9,822.18
61,Orianna,635.59,588.38
62,Wukong,571.59,983.75
63,Brand,689.31,606.3
64,Lee Sin,549.24,1040.13
67,Vayne,634.69,660.32
68,Rumble,742.84,720.48
69,Cassiopeia,693.8,765.15
72,Skarner,420.15,846.1
74,Heimerdinger,789.02,560.42
75,Nasus,544.54,1053.11
76,Nidalee,664.26,1009.88
77,Udyr,494.14,1057.29
78,Poppy,549.87,872.09
79,Gragas,657.59,916.81
80,Pantheon,627.3,766.82
81,Ezreal,762.2,612.31
82,Mordekaiser,647.5,943.5
83,Yorick,604.09,850.16
84,Akali,692.25,846.7
85,Kennen,676.4,668.86
86,Garen,563.16,894.63
89,Leona,208.98,658.74
90,Malzahar,607.64,531.26
91,Talon,683.9,932.66
92,Riven,559.48,827.81
96,Kog'Maw,847.97,694.68
98,Shen,446.02,809.28
99,Lux,595.67,469.52
101,Xerath,712.59,476.0
102,Shyvana,675.91,1137.75
103,Ahri,637.08,662.71
104,Graves,655.12,849.65
105,Fizz,620.58,680.64
106,Volibear,538.06,1021.04
107,Rengar,665.77,1048.15
110,Varus,667.62,616.48
111,Nautilus,256.17,632.88
112,Viktor,783.8,581.18
113,Sejuani,574.01,994.73
114,Fiora,637.54,997.71
115,Ziggs,750.31,531.57
117,Lulu,215.42,477.28
119,Draven,760.06,725.13
120,Hecarim,588.39,1217.59
121,Kha'Zix,644.43,1020.83
122,Darius,577.16,875.46
126,Jayce,748.02,678.47
127,Lissandra,604.46,690.54
131,Diana,697.16,895.36
133,Quinn,655.9,674.65
134,Syndra,657.8,584.79
136,Aurelion Sol,639.1,736.93
141,Kayn,642.54,1146.35
142,Zoe,710.47,602.65
143,Zyra,581.01,477.69
145,Kai'Sa,656.59,623.31
147,Seraphine,461.89,537.15
150,Gnar,681.1,884.68
154,Zac,535.91,1187.58
157,Yasuo,585.17,755.54
161,Vel'Koz,706.01,513.75
163,Taliyah,742.31,722.97
164,Camille,650.01,915.04
166,Akshan,733.1,657.49
200,Bel'Veth,584.77,1027.01
201,Braum,254.53,662.57
202,Jhin,570.63,580.98
203,Kindred,728.94,911.71
221,Zeri,718.23,670.73
222,Jinx,672.66,609.13
223,Tahm Kench,455.02,967.11
234,Viego,569.51,1041.67
235,Senna,567.04,590.59
236,Lucian,683.26,669.58
238,Zed,670.82,748.47
240,Kled,619.52,1184.06
245,Ekko,651.93,1007.74
246,Qiyana,698.23,775.92
254,Vi,517.06,878.7
266,Aatrox,669.41,1027.33
267,Nami,301.48,491.55
268,Azir,716.91,666.13
350,Yuumi,291.53,321.65
360,Samira,741.23,769.18
412,Thresh,229.37,611.63
420,Illaoi,763.83,988.83
421,Rek'Sai,603.0,942.34
427,Ivern,315.96,516.5
429,Kalista,695.93,727.76
432,Bard,348.25,589.43
497,Rakan,239.81,587.36
498,Xayah,669.21,634.9
516,Ornn,527.06,920.39
517,Sylas,715.09,1018.8
518,Neeko,611.8,644.87
523,Aphelios,677.47,635.34
526,Rell,258.98,652.86
555,Pyke,353.9,677.02
711,Vex,658.38,626.65
777,Yone,686.5,811.8
875,Sett,588.75,973.82
876,Lillia,692.37,1053.41
887,Gwen,666.38,993.31
888,Renata Glasc,303.05,570.21
