,index,name,id
Annie,Annie,1,0
Olaf,Olaf,2,0
Galio,Galio,3,0
TwistedFate,Twisted Fate,4,0
XinZhao,Xin Zhao,5,0
Urgot,Urgot,6,0
Leblanc,LeBlanc,7,0
Vladimir,Vladimir,8,0
Fiddlesticks,Fiddlesticks,9,0
Kayle,Kayle,10,0
MasterYi,Master Yi,11,0
Alistar,Alistar,12,0
Ryze,Ryze,13,0
Sion,Sion,14,0
Sivir,Sivir,15,0
Soraka,Soraka,16,0
Teemo,Teemo,17,0
Tristana,Tristana,18,0
Warwick,Warwick,19,0
Nunu,Nunu & Willump,20,0
MissFortune,Miss Fortune,21,0
Ashe,Ashe,22,0
Tryndamere,Tryndamere,23,0
Jax,Jax,24,0
Morgana,Morgana,25,0
Zilean,Zilean,26,0
Singed,Singed,27,0
Evelynn,Evelynn,28,0
Twitch,Twitch,29,0
Karthus,Karthus,30,0
Chogath,Cho'Gath,31,0
Amumu,Amumu,32,0
Rammus,Rammus,33,0
Anivia,Anivia,34,0
Shaco,Shaco,35,0
DrMundo,Dr. Mundo,36,0
Sona,Sona,37,0
Kassadin,Kassadin,38,0
Irelia,Irelia,39,0
Janna,Janna,40,0
Gangplank,Gangplank,41,0
Corki,Corki,42,0
Karma,Karma,43,0
Taric,Taric,44,0
Veigar,Veigar,45,0
Trundle,Trundle,48,0
Swain,Swain,50,0
Caitlyn,Caitlyn,51,0
Blitzcrank,Blitzcrank,53,0
Malphite,Malphite,54,0
Katarina,Katarina,55,0
Nocturne,Nocturne,56,0
Maokai,Maokai,57,0
Renekton,Renekton,58,0
JarvanIV,Jarvan IV,59,0
Elise,Elise,60,0
Orianna,Orianna,61,0
MonkeyKing,Wukong,62,0
Brand,Brand,63,0
LeeSin,Lee Sin,64,0
Vayne,Vayne,67,0
Rumble,Rumble,68,0
Cassiopeia,Cassiopeia,69,0
Skarner,Skarner,72,0
Heimerdinger,Heimerdinger,74,0
Nasus,Nasus,75,0
Nidalee,Nidalee,76,0
Udyr,Udyr,77,0
Poppy,Poppy,78,0
Gragas,Gragas,79,0
Pantheon,Pantheon,80,0
Ezreal,Ezreal,81,0
Mordekaiser,Mordekaiser,82,0
Yorick,Yorick,83,0
Akali,Akali,84,0
Kennen,Kennen,85,0
Garen,Garen,86,0
Leona,Leona,89,0
Malzahar,Malzahar,90,0
Talon,Talon,91,0
Riven,Riven,92,0
KogMaw,Kog'Maw,96,0
Shen,Shen,98,0
Lux,Lux,99,0
Xerath,Xerath,101,0
Shyvana,Shyvana,102,0
Ahri,Ahri,103,0
Graves,Graves,104,0
Fizz,Fizz,105,0
Volibear,Volibear,106,0
Rengar,Rengar,107,0
Varus,Varus,110,0
Nautilus,Nautilus,111,0
Viktor,Viktor,112,0
Sejuani,Sejuani,113,0
Fiora,Fiora,114,0
Ziggs,Ziggs,115,0
Lulu,Lulu,117,0
Draven,Draven,119,0
Hecarim,Hecarim,120,0
Khazix,Kha'Zix,121,0
Darius,Darius,122,0
Jayce,Jayce,126,0
Lissandra,Lissandra,127,0
Diana,Diana,131,0
Quinn,Quinn,133,0
Syndra,Syndra,134,0
AurelionSol,Aurelion Sol,136,0
Kayn,Kayn,141,0
Zoe,Zoe,142,0
Zyra,Zyra,143,0
Kaisa,Kai'Sa,145,0
Seraphine,Seraphine,147,0
Gnar,Gnar,150,0
Zac,Zac,154,0
Yasuo,Yasuo,157,0
Velkoz,Vel'Koz,161,0
Taliyah,Taliyah,163,0
Camille,Camille,164,0
Akshan,Akshan,166,0
Belveth,Bel'Veth,200,0
Braum,Braum,201,0
Jhin,Jhin,202,0
Kindred,Kindred,203,0
Zeri,Zeri,221,0
Jinx,Jinx,222,0
TahmKench,Tahm Kench,223,0
Viego,Viego,234,0
Senna,Senna,235,0
Lucian,Lucian,236,0
Zed,Zed,238,0
Kled,Kled,240,0
Ekko,Ekko,245,0
Qiyana,Qiyana,246,0
Vi,Vi,254,0
Aatrox,Aatrox,266,0
Nami,Nami,267,0
Azir,Azir,268,0
Yuumi,Yuumi,350,0
Samira,Samira,360,0
Thresh,Thresh,412,0
Illaoi,Illaoi,420,0
RekSai,Rek'Sai,421,0
Ivern,Ivern,427,0
Kalista,Kalista,429,0
Bard,Bard,432,0
Rakan,Rakan,497,0
Xayah,Xayah,498,0
Ornn,Ornn,516,0
Sylas,Sylas,517,0
Neeko,Neeko,518,0
Aphelios,Aphelios,523,0
Rell,Rell,526,0
Pyke,Pyke,555,0
Vex,Vex,711,0
Yone,Yone,777,0
Sett,Sett,875,0
Lillia,Lillia,876,0
Gwen,Gwen,887,0
Renata,Renata Glasc,888,0
